,account,allocation,Unnamed: 0,jobs,su,users,avg_cores,avg_nodes,cpuhours,cycle,Usage,Usage_Portion,SU_job,SU_user,Job_user
19,pi-lupingyu,0.09,57.0,5.0,0.00921665,1.0,51.2,4.4,9216.64,2014.0,9216.65,0.10240722222222222,1843.33,9216.65,5.0
20,pi-rbgramacy,0.075,33.0,28.0,0.00969366,1.0,306.8571,19.25,9693.5244,2013.0,9693.66,0.1292488,346.20214285714286,9693.66,28.0
20,pi-rbgramacy,0.075,49.0,384.0,0.02216866,1.0,37.9297,2.5365,22166.9464,2014.0,22168.66,0.29558213333333333,57.730885416666666,22168.66,384.0
20,pi-rbgramacy,0.075,50.0,222.0,0.03480945,1.0,53.8108,3.4234,34808.4639,2015.0,34809.45,0.464126,156.79932432432432,34809.45,222.0
20,pi-rbgramacy,0.075,13.0,238.0,0.65164333,1.0,256.5588,16.0714,651642.3694,2016.0,651643.33,1.0,2737.997184873949,651643.33,238.0
21,pi-aaz,0.075,17.0,1368.0,0.060515089999999994,1.0,28.3743,2.0439,60510.04,2013.0,60515.09,0.8068678666666667,44.236176900584795,60515.09,1368.0
21,pi-aaz,0.075,30.0,337.0,0.06037907,3.0,10.368,1.0415,60377.5075,2014.0,60379.07,0.8050542666666667,179.16637982195846,20126.356666666667,112.33333333333333
21,pi-aaz,0.075,43.0,92.0,0.05528286,6.0,83.6522,5.4783,55282.5342,2015.0,55282.86,0.7371048,600.900652173913,9213.81,15.333333333333334
21,pi-aaz,0.075,0.0,2343.0,2.02190781,7.0,69.1481,4.4767,2021898.8683,2016.0,2021907.81,1.0,862.9568117797695,288843.97285714286,334.7142857142857
21,pi-aaz,0.075,86.0,139.0,0.02042559,6.0,10.964,1.0576,20425.035,2017.0,20425.59,0.2723412,146.94669064748203,3404.265,23.166666666666668
21,pi-aaz,0.075,49.0,273.0,0.18981186,2.0,52.315,1.8864,146009.3744,2018.0,189811.86,1.0,695.2815384615384,94905.93,136.5
22,pi-nbrunel,0.063,15.0,4786.0,0.10413225,3.0,3.5380000000000003,1.0938,104110.7853,2013.0,104132.25,1.0,21.757678646050984,34710.75,1595.3333333333333
22,pi-nbrunel,0.063,31.0,11561.0,0.05981442,4.0,1.3943,1.0029,59755.1383,2014.0,59814.42,0.9494352380952381,5.173810224029063,14953.605,2890.25
22,pi-nbrunel,0.063,82.0,3380.0,0.005738180000000001,2.0,0.9772,1.0272,5719.1642,2015.0,5738.18,0.09108222222222223,1.6976863905325446,2869.09,1690.0
22,pi-nbrunel,0.063,89.0,451.0,0.008826559999999999,4.0,8.693999999999999,2.4701,8824.4725,2016.0,8826.56,0.14010412698412697,19.571086474501108,2206.64,112.75
22,pi-nbrunel,0.063,45.0,11136.0,0.19010162,3.0,6.8711,1.2894,174149.1506,2017.0,190101.62,1.0,17.070906968390805,63367.206666666665,3712.0
23,pi-wilde,0.05,13.0,7893.0,0.13287906,7.0,12.6498,1.3924,132855.9308,2013.0,132879.06,1.0,16.835051311288485,18982.722857142857,1127.5714285714287
23,pi-wilde,0.05,43.0,7460.0,0.03171827,6.0,19.4551,1.6202,31689.1256,2014.0,31718.27,0.6343654,4.2517788203753355,5286.378333333333,1243.3333333333333
23,pi-wilde,0.05,65.0,4539.0,0.02113971,8.0,15.8467,1.4349,21123.2161,2015.0,21139.71,0.4227942,4.657349636483807,2642.46375,567.375
23,pi-wilde,0.05,132.0,1073.0,0.00041271,4.0,15.8472,1.0522,407.8722,2016.0,412.71,0.0082542,0.3846318732525629,103.1775,268.25
23,pi-wilde,0.05,101.0,705.0,0.008792930000000001,5.0,14.956,1.0284,8790.1931,2017.0,8792.93,0.1758586,12.472241134751773,1758.586,141.0
23,pi-wilde,0.05,149.0,129.0,0.0008751399999999999,3.0,9.5349,1.031,875.2122,2018.0,875.14,0.0175028,6.7840310077519375,291.7133333333333,43.0
24,pi-aachien,0.05,15.0,3216.0,0.2580989,5.0,52.0967,8.0056,258087.5364,2014.0,258098.9,1.0,80.25463308457711,51619.78,643.2
24,pi-aachien,0.05,22.0,643.0,0.22400944,4.0,72.4541,14.3297,224007.0994,2015.0,224009.44,1.0,348.38171073094867,56002.36,160.75
24,pi-aachien,0.05,76.0,1872.0,0.016405689999999997,4.0,123.1971,7.9529999999999985,16397.1644,2016.0,16405.69,0.32811379999999996,8.76372329059829,4101.4225,468.0
